Series Name,Series Code,Country Name,Country Code,2016 [YR2016]
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Kiribati,KIR,..
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Kosovo,XKX,..
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Kuwait,KWT,2.16000008583069
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Lesotho,LSO,24.2999992370605
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Letonia,LVA,9.64299964904785
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Líbano,LBN,6.30900001525879
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Liberia,LBR,3.08100008964539
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Libia,LBY,18.7889995574951
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Liechtenstein,LIE,..
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Lituania,LTU,7.86199998855591
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Luxemburgo,LUX,6.29099988937378
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Macedonia del Norte,MKD,23.7240009307861
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Madagascar,MDG,1.76300001144409
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Malasia,MYS,3.44000005722046
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Malawi,MWI,5.79500007629395
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Maldivas,MDV,6.11999988555908
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Malí,MLI,7.55299997329712
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Malta,MLT,4.68699979782104
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Mariana,MNP,..
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Marruecos,MAR,9.30000019073486
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Mauricio,MUS,6.81400012969971
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Mauritania,MRT,9.69200038909912
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,México,MEX,3.85899996757507
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Micronesia (Estados Federados de),FSM,..
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Mónaco,MCO,..
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Mongolia,MNG,7.2350001335144
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Montenegro,MNE,17.7229995727539
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Mozambique,MOZ,3.38299989700317
"Desempleo, total (% de la población activa total) (estimación modelado OIT)",SL.UEM.TOTL.ZS,Myanmar,MMR,1.14100003242493
